"+17799947575","Crystal Lake Buick GMC",2,5,467000
"+16306728801","St. Charles Chevrolet",8,13,1138000
"+13123867092","MKTG_GBP_CHIG_GEN_SALES",7,0,1564000
"+16305817281","St. Charles Chevrolet",3,4,441000
"+18722312970","Napleton Chevrolet Chicago",0,1,0
"+13123798530","MKTG_GBP_CHIG_BG_SALES",5,0,721000
"+13123809920","MKTG_GBP_CHIG_HYUN_SALES",13,0,3139000
"+19202128693","DriveCentric Genius (Beaver Dam GM)",1,0,107000
"+17738289426","Napleton Chevrolet Chicago",1,1,17000
"+19208851299","Beaver Dam GM",10,0,1733000
"+13127613977","Hillary Fields (Shared BDC)",1,0,54000
"+18154778699","Cassie Tertel (Shared BDC)",0,106,1453000
"+18154779794","Crystal Lake Buick GMC",0,4,196000
"+18722253704","MKTG_GBP_CHIG_MAIN",24,0,4684000
"+13127674641","MKTG_APPLEMAPS_CHIG_HYUN",3,0,873000
"+19206235960","Columbus Ford Parts",15,0,2767000
"+16306728743","St. Charles Chevrolet",4,19,2375000
"+17738289484","Napleton Chevrolet Chicago",0,2,234000
"+18155267401","MKTG_WDWL_CRYL",3,0,50000
"+19206305997","Columbus Ford - Open  Sales",0,1,0
"+19203509969","MKTG_GOOGADS_FORD",9,0,1771000
"+13125670012","Napleton Chevrolet Chicago - Parts",35,0,9387000
"+13127022570","MKTG_APPLEMAPS_CHIG_CHEVY",9,0,2383000
"+19206266758","MKTG_APPLEMAPS_FORD",1,0,226000
"+19203509498","MKTG_GOOGADS_COLC",2,0,674000
"+19202127531","Beaver Dam CDJR - Garret Scott (CDJR Parts)",0,4,557000
"+17799947890","Crystal Lake Buick GMC",0,2,735000
"+19206264718","MKTG_CARFAX_COLC",2,0,418000
"+18154779796","Crystal Lake Buick GMC",1,0,270000
"+17738286856","Napleton Chevrolet Chicago",7,12,1276000
"+16306728771","St. Charles Chevrolet",4,14,1570000
"+19206314786","Beaver Dam GM - Curt Jorgensen",0,2,950000
"+17738286869","Napleton Chevrolet Chicago",0,4,347000
"+19208852767","Beaver Dam GM Direct Parts#",15,0,2976000
"+19205572191","MKTG_GBP_BDGM_PARTS",2,0,50000
"+19206314765","Beaver Dam GM - Debra Robinson",0,2,205000
"+19203066002","MKTG_GOGLADS_CDJR",3,0,441000
"+16305184215","MKTG_BING_STCH",1,0,46000
"+17738286785","Napleton Chevrolet Chicago",3,4,275000
"+13312722260","MKTG_CARGURUS_STCH",1,0,318000
"+19206314759","Beaver Dam GM - Beth Lipski",0,1,1864000
"+16306728782","St. Charles Chevrolet",0,5,380000
"+19208873635","Beaver Dam CDJR",3,0,543000
"+17738286882","Napleton Chevrolet Chicago",2,9,2760000
"+13126203216","DriveCentric Genius (Downtown Chicago Sales)",1,0,227000
"+13123195099","Josh Gamache",1,0,9000
"+19206314969","Beaver Dam GM - Jacqueline Fritz",2,5,312000
"+16305849846","St. Charles Chevrolet (Used Car Manager)",1,2,223000
"+17738289902","Napleton Chevrolet Chicago",2,1,275000
"+19203062248","MKTG_META_BDGM",1,0,61000
"+17738286867","Napleton Chevrolet Chicago",3,6,407000
"+17798006507","MKTG_CARFAX_CRYL",1,0,117000
"+17738286865","Napleton Chevrolet Chicago",1,0,0
"+17738289755","Napleton Chevrolet Chicago",4,3,353000
"+16305817280","St. Charles Chevrolet",1,7,136000
"+19209449557","Beaver Dam GM - Jessica Paepke",4,3,521000
"+17799947567","Crystal Lake Buick GMC",0,5,407000
"+19206235802","Columbus Chevy - Seth Christianson (Columbus Chevy Service)",0,8,543000
"+17738286851","Napleton Chevrolet Chicago",1,0,23000
"+16305849706","St. Charles Chevrolet Finance Direct#",3,0,610000
"+19202127533","Beaver Dam CDJR - Scott Reed (CDJR GM Sales)",1,0,3000
"+17739774248","Napleton Chevrolet Chicago",2,0,26000
"+19202127723","MKTG_DLRWEB_BDGM_SALES",1,0,316000
"+16305849702","St. Charles Chevrolet Service Direct#",21,0,7860000
"+17799947892","Crystal Lake Buick GMC",3,1,796000
"+18155260069","MKTG_APPLEMAPS_CRYL",1,0,104000
"+16305849910","St. Charles Chevrolet - Sales Representative",1,0,0
"+13124479157","Laine Ozburn",5,3,1253000
"+19206314798","Beaver Dam GM - Joel JR. Christopherson",2,2,280000
"+18722995060","MaryFrances Scott (Shared BDC)",1,66,1653000
"+19208851283","Beaver Dam GM - Nancy Szopinksi",0,1,149000
"+18722253601","MKTG_DLRWEB_CHIG_GEN_SERVICE",5,0,1179000
"+13123261185","Diana Avila (Shared BDC)",2,65,2464000
"+16305242316","MKTG_GBP_STCH_SALES",12,0,5496000
"+13312725141","MKTG_APPLEMAPS_STCH",9,0,3077000
"+19205572973","MKTG_GBP_CDJR_SALES",10,0,1696000
"+18154779736","Crystal Lake Buick GMC - Kelly Walker",0,6,718000
"+19206235250","Columbus Ford",5,0,693000
"+19202127699","MKTG_EDMUNDS_LISTINGS_CDJR",1,0,15000
"+19202127751","Wisconsin Centralized Office",1,0,270000
"+19208872300","Beaver Dam CDJR Main",5,0,470000
"+13123280904","Napleton Auto Group Main Number",85,63,18292000
"+19205618175","MKTG_GBP_FORD_SALES",9,0,2658000
"+19206230102","Columbus Chevy - Dom Cirillo (Columbus Chevy Service)",1,0,256000
"+16305849725","St. Charles Chevrolet",0,7,593000
"+16305849710","St. Charles Chevrolet Admin Direct#",1,0,131000
"+19206235831","Columbus Chevy - Erin Damico (Columbus Chevy Sales)",1,0,73000
"+19206269087","Columbus Chevy - Gary Bortz (Columbus Chevy Sales)",4,1,288000
"+17738286872","Napleton Chevrolet Chicago",2,71,1955000
"+18722995054","Napleton Chevrolet Chicago",0,36,1080000
"+13123618454","MKTG_GBP_CHIG_CHEV_SALES",13,0,2037000
"+16305849740","St. Charles Chevrolet",0,1,75000
"+16305849732","St. Charles Chevrolet",1,0,3000
"+16305849857","St. Charles Chevrolet",1,0,19000
"+17799947891","Crystal Lake Buick GMC - Sales Person",1,3,339000
"+19203198417","MKTG_CARGURUS_BDGM",3,0,399000
"+18722253777","MKTG_CARSCOM_CHIG",1,0,112000
"+19203064191","MKTG_GOOGADS_BDGM",17,0,4158000
"+17799947889","Crystal Lake Buick GMC",0,5,1172000
"+13122258752","Napleton Chevrolet Chicago Fax",3,0,125000
"+16306728749","St. Charles Chevrolet",1,15,1848000
"+17738286578","Napleton Chevrolet Chicago",8,8,907000
"+19202393180","MKTG_DLRWEB_COLC_SERVICE",3,0,432000
"+19206314802","Beaver Dam GM - Jason Clark",0,1,0
"+16305849704","Dorothy Victorson (Shared BDC)",4,64,3067000
"+18154779795","Crystal Lake Buick GMC",0,6,1076000
"+16304852687","Engage - Mudd Advertising",2,0,12000
"+19206314929","Beaver Dam GM - Jace Christopherson",0,9,1110000
"+17738286878","Napleton Chevrolet Chicago",4,2,585000
"+19202127534","Beaver Dam CDJR - Ken Ferstl (CDJR Service)",2,4,330000
"+16305849703","St. Charles Chevrolet Parts Direct #",28,0,5206000
"+17738286873","Napleton Chevrolet Chicago",1,5,947000
"+19209449549","Beaver Dam GM - Josh Dahlke",1,0,45000
"+17738286863","Napleton Chevrolet Chicago",13,14,3819000
"+16305849700","St. Charles Chevrolet Main Phone#",43,0,5710000
"+19206235963","Columbus Ford Fax",3,0,186000
"+18722312951","Napleton Chevrolet Chicago",0,4,115000
"+17798003316","MKTG_GBP_CRYL_SALES",9,0,1880000
"+16305242693","MKTG_DLRWEB_STCH_SERVICE",2,0,200000
"+19203198509","MKTG_CARFAX_BDGM",1,0,166000
"+13123443356","Michael Zelko",1,0,45000
"+19203194047","MKTG_APPLEMAPS_BDGM",3,0,785000
"+19206269095","Columbus Chevy - Open Sales Office (Columbus Chevy Sales)",2,7,478000
"+19205572974","MKTG_DLRWEB_CDJR_SALES",3,0,304000
"+17738286881","Napleton Chevrolet Chicago",1,3,666000
"+18722253799","MKTG_DLRWEB_CHIG_BG_SERVICE",1,0,165000
"+19202127538","Beaver Dam CDJR - Manny Ramirez (CDJR Sales)",0,5,204000
"+13126253073","MKTG_EVNT_CHIG_HYUN",1,0,0
"+17738286854","Napleton Chevrolet Chicago",1,0,7000
"+17738286876","Napleton Chevrolet Chicago",1,12,2379000
"+13123443353","Danny Randolph",2,1,1328000
"+13126203878","Marcia Young (DNR)",1,0,60000
